Video Name,Episode number,Speaker,Key words
https://www.youtube.com/watch?v=PGiHjLgFar4,60,Matthew Horwitz,"Azaphenalene, Fluorescence, Heptaazaphenalene, Organic LEDs, Phosphorescence, Quantum efficiency"
https://www.youtube.com/watch?v=5A3spiOjhyc,61,Matthew Horwitz,"Alkaloids, Burgess Reagent, Grignard Reagent, Olefination, Suzuki-Miyaura coupling, [23]-sigmatropic rearrangements, ene reaction"
https://www.youtube.com/watch?v=UBYw1XHpYCI,62,Matthew Horwitz,"Aldol condensation, Biosynthesis, Julia-Kocienski Olefination, Metathesis reaction, Olefination, Suzuki-Miyaura reaction, organolithium"
https://www.youtube.com/watch?v=GQ22BoLz_rk,63,Matthew Horwitz,"Amidine, Dione, Lawesson's Reagent, Pinacol-type rearrangement, Sonogashira Coupling, cyclization"
https://www.youtube.com/watch?v=0bTXYEPgVDE,64,Matthew Horwitz,"Alkaloids, Biosynthesis, Bischler-Napieraiski cleavage, Indoles, Lactamization, Photoredox catalysis, organolithium"
https://www.youtube.com/watch?v=MWXK2elRGOk,65,Matthew Horwitz,"Alkoxides, Chugaev Ellimination, Grob-type fragmentation, Rearrangement, Resolution, Wittig reaction, [3+2]-cycloaddition, umpolung"
https://www.youtube.com/watch?v=9ecESNg1hdg,66,Matthew Horwitz,"Alkenes, Amines, Aziridines, Cation Pool, Electrolysis, Flow Chemistry"
https://www.youtube.com/watch?v=shFQf4tLlC4,67,Matthew Horwitz,"Dearomatization, Grignard Reagent, Heterocycles, Metal-Halogen exchange, Photoredox catalysis, demethylation"
https://www.youtube.com/watch?v=mxlsmuYOUKA,68,Matthew Horwitz,"Carboarylation, Cascade, EDA-Complex, Photoredox catalysis, Rearrangement, Truce-Smiles Rearrangement, decarboxylation"
https://www.youtube.com/watch?v=ed2RyhLzCaY,69,Matthew Horwitz,"Aryl Chlorides, Coupling reaction, Dication Pool, Electrocatalysis, Photocatalysis, Radical Clock"
https://www.youtube.com/watch?v=vSb4_z8xS_4,70,Matthew Horwitz,"Cone Angle, Conformers, Ligands, Steric effect"
https://www.youtube.com/watch?v=VAZC_NZyEr4,71,Matthew Horwitz,"Dearomatization, Hypervalent Iodine, Phenol, Quinones, Radical, enantioselectivity"
https://www.youtube.com/watch?v=5OTYSKrGUGA,72,Matthew Horwitz,"Aldehydes, Alkynes, Amides, Cross-Coupling, alkene, total synthesis"
https://www.youtube.com/watch?v=yzsBVEQxY1Q,73,Matthew Horwitz,"Ammonium Salts, Asymmetric Synthesis, BINOL, Chiral shift reagents, QMT, Racemisation"
https://www.youtube.com/watch?v=H43b0A0BN9k,74,Matthew Horwitz,"Aminocyclopentitols, Heterocycles, Nazarov cyclization, Pauson-Khand, Piancatelli Rearrangement, cycloaddition, cyclopentenones"
https://www.youtube.com/watch?v=YlU9KQCWm1U,75,Matthew Horwitz,"Alkenes, H-Bonding, Imines, Phosphaboraoxetanes, Phosphaborenes, organolithium"
https://www.youtube.com/watch?v=9u8TadH9OcQ,76,Matthew Horwitz,"Amine catalysis, Benzoin Condensation, Grignard Reagent, NHC catalysis, enamine, umpolung"
https://www.youtube.com/watch?v=1J7WeQIoP5Y,77,Matthew Horwitz,"Alkynes, Aza Paterno-Buchi reaction, Oximes, Photocatalysis, Rearrangement, [2+2] cycloaddition"
https://www.youtube.com/watch?v=8a_sXvbUIMk,78,Matthew Horwitz,"Hydrogenation, Sharpless epoxidation, Steroid, Stille Coupling, Suzuki cross coupling, glycosylation"
https://www.youtube.com/watch?v=JF0E4vsxXk0,79,Matthew Horwitz,"Alkynes, Allylboranes, Frustrated Lewis Pairs, Hydroboration, Pyridone Borane"
https://www.youtube.com/watch?v=u_icKys51dU,80,Matthew Horwitz,"C-H amination, Chiral Ir-Catalyst, Nitrenes, Nitrenoids"
https://www.youtube.com/watch?v=Nw_zUKqcgvM,81,Matthew Horwitz,"Boronic esters, Desymmetrization, HBD Catalysis, Rearrangement, organolithium, stereoselective, stereospecific"
https://www.youtube.com/watch?v=LZyeH46n6wY,82,Matthew Horwitz,"DIBAL-h, Grignard Reagent, Metal-Halogen exchange, Polymers, polymerization"
https://www.youtube.com/watch?v=z0qiNfkdL10,83,Matthew Horwitz,"Deoxysugars, Enzymatic reactions, Lewis acid, Radical migration, monosacharides"
https://www.youtube.com/watch?v=p4V27GFGiWc,84,Matthew Horwitz,"Cross-Coupling, Cyclopropanes, Grignard Reagent, Ni-Catalysis, SN2, epimerization, transmetallation"
